Early embryo	Middle embryo	Late embryo	Larva	Pupae.Adult
FBgn0037182	FBgn0035824	FBgn0033508	FBgn0052115	FBgn0032268
FBgn0033169	FBgn0026417	FBgn0050458	FBgn0035515	FBgn0038565
FBgn0023514	FBgn0030806	FBgn0038526	FBgn0038214	FBgn0032312
FBgn0029175	FBgn0032880	FBgn0036168	FBgn0038083	FBgn0261707
FBgn0029714	FBgn0010238	FBgn0035504	FBgn0243514	FBgn0031164
FBgn0086532	FBgn0038324	FBgn0034972	FBgn0051778	FBgn0033861
FBgn0044049	FBgn0010194	FBgn0038926	FBgn0053013	FBgn0052161
FBgn0032050	FBgn0014029	FBgn0000711	FBgn0046689	FBgn0036785
FBgn0037051	FBgn0052554	FBgn0031650	FBgn0039312	FBgn0029552
FBgn0029629	FBgn0002633	FBgn0051291	FBgn0062412	FBgn0034506
FBgn0029867	FBgn0030665	FBgn0031630	FBgn0040064	FBgn0036170
FBgn0031238	FBgn0040045	FBgn0030202	FBgn0032025	FBgn0038123
FBgn0031764	FBgn0000591	FBgn0035545	FBgn0035300	FBgn0050350
FBgn0025582	FBgn0030479	FBgn0037225	FBgn0035343	FBgn0050385
FBgn0085451	FBgn0035264	FBgn0041231	FBgn0034860	FBgn0034842
FBgn0039115	FBgn0086655	FBgn0035928	FBgn0085195	FBgn0033280
FBgn0031868	FBgn0262906	FBgn0040091	FBgn0050091	FBgn0035005
FBgn0003300	FBgn0032816	FBgn0037227	FBgn0030051	FBgn0039796
FBgn0038805	FBgn0003870	FBgn0003137	FBgn0030724	FBgn0034592
FBgn0261434	FBgn0003559	FBgn0036112	FBgn0052068	FBgn0050178
FBgn0037943	FBgn0040286	FBgn0025613	FBgn0034856	FBgn0042711
FBgn0034258	FBgn0029667	FBgn0262350	FBgn0040636	FBgn0031430
FBgn0038552	FBgn0004364	FBgn0039107	FBgn0263096	FBgn0037616
FBgn0000411	FBgn0039904	FBgn0053626	FBgn0262570	FBgn0033498
FBgn0003261	FBgn0015907	FBgn0036274	FBgn0030494	FBgn0038709
FBgn0001986	FBgn0024196	FBgn0028906	FBgn0086691	FBgn0047338
FBgn0033571	FBgn0033751	FBgn0030824	FBgn0033624	FBgn0051697
FBgn0038585	FBgn0030900	FBgn0038642	FBgn0051728	FBgn0039425
FBgn0040235	FBgn0032751	FBgn0085376	FBgn0053503	FBgn0003140
FBgn0033400	FBgn0004103	FBgn0051225	FBgn0039482	FBgn0261579
FBgn0030365	FBgn0003391	FBgn0028996	FBgn0039006	FBgn0028838
FBgn0038300	FBgn0040334	FBgn0029639	FBgn0032652	FBgn0028935
FBgn0020633	FBgn0005648	FBgn0041250	FBgn0050345	FBgn0050384
FBgn0086897	FBgn0261111	FBgn0034204	FBgn0036363	FBgn0033864
FBgn0033855	FBgn0004227	FBgn0036598	FBgn0032704	FBgn0034863
FBgn0028530	FBgn0026064	FBgn0034436	FBgn0030262	FBgn0033461
FBgn0037792	FBgn0015622	FBgn0261509	FBgn0039323	FBgn0031946
FBgn0035918	FBgn0010316	FBgn0036607	FBgn0050029	FBgn0032968
FBgn0003411	FBgn0029693	FBgn0035548	FBgn0039154	FBgn0038355
FBgn0015834	FBgn0038369	FBgn0016694	FBgn0031248	FBgn0034844
FBgn0028982	NA	FBgn0038045	FBgn0050016	FBgn0036246
FBgn0034057	NA	FBgn0051626	FBgn0030509	FBgn0032971
FBgn0038028	NA	FBgn0035792	FBgn0034538	FBgn0034651
FBgn0034631	NA	FBgn0035325	FBgn0030688	FBgn0039177
FBgn0035315	NA	FBgn0033502	FBgn0033543	FBgn0035924
FBgn0040087	NA	FBgn0052379	FBgn0262035	FBgn0035857
FBgn0014189	NA	FBgn0033252	FBgn0030362	FBgn0028903
FBgn0043002	NA	FBgn0051531	FBgn0031405	FBgn0034820
FBgn0050085	NA	FBgn0038596	FBgn0035312	FBgn0045476
FBgn0030269	NA	FBgn0020880	FBgn0036461	FBgn0262482
FBgn0035247	NA	FBgn0001205	FBgn0034909	FBgn0028941
FBgn0004110	NA	FBgn0030349	FBgn0039031	FBgn0042131
FBgn0032489	NA	FBgn0050274	FBgn0033949	FBgn0031323
FBgn0037881	NA	FBgn0034530	FBgn0034356	FBgn0051010
FBgn0020556	NA	FBgn0262008	FBgn0030993	FBgn0052117
FBgn0034654	NA	FBgn0036177	FBgn0052249	FBgn0040038
FBgn0024285	NA	FBgn0259140	FBgn0031547	FBgn0029084
FBgn0011571	NA	FBgn0051668	FBgn0016715	FBgn0029539
FBgn0040273	NA	FBgn0033913	FBgn0051901	FBgn0029877
FBgn0259745	NA	FBgn0033727	FBgn0034612	FBgn0262604
FBgn0024510	NA	FBgn0031887	FBgn0262782	FBgn0034835
FBgn0028474	NA	FBgn0005658	FBgn0025595	FBgn0038448
FBgn0085253	NA	FBgn0052668	FBgn0000078	FBgn0053704
